when,appId,pacoVersion,experimentId,experimentName,experimentVersion,experimentGroupName,actionTriggerId,actionId,actionSpecId,responseTime,scheduledTime,timeZone,recentFullMeal,mealList,dishesContain,otherProtein,Form Duration,android,carrier,display,joined,make,model,schedule
2017/03/02 02:09:17+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,3/1/17 21:09,3/1/17 20:36,-05:00,3,"Burrito Bowl-Rice, beans, lettuce, avacado, chicken, onions, cheese","3,6,8,10",,,,,,,,,
2017/03/02 02:09:17+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/26/17 18:54,-05:00,,,,,,,,,,,,
2017/03/02 02:09:16+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/25/17 16:50,-05:00,,,,,,,,,,,,
2017/03/02 02:09:11+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/22/17 18:15,-05:00,,,,,,,,,,,,
2017/03/02 01:50:02+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,,3/1/17 18:50,-05:00,,,,,,,,,,,,
2017/03/02 00:09:05+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,3/1/17 16:09,,-08:00,1,"Hard boiled egg, 1/2 cup cilantro, pits bread and coffee with almond milk and honey","7,8,11,12",,,,,,,,,
2017/03/01 23:30:27+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,41,New Group,1.48757E+12,1.48757E+12,1.48757E+12,3/1/17 15:30,3/1/17 15:29,-08:00,1,2 eggs 1 sourdough toast with butter,"7,6,12",,58,,,,,,,
2017/03/01 23:01:46+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,3/1/17 18:01,3/1/17 17:52,-05:00,2,bean burrito,"12,10",,43,,,,,,,
2017/03/01 22:04:17+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,3/1/17 17:04,3/1/17 17:01,-05:00,2,"A sandwich on 2 pieces of Italian bread.  4 pieces of Lebanon bologna, 4 pieces of chicken breast lunch meat, 2 slices of American cheese and mustard.  A small bag of nacho cheese Doritos and 2 hard boiled eggs.","1,3,6,7",,,,,,,,,
2017/03/01 21:15:38+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,3/1/17 15:14,3/1/17 15:02,-06:00,2,"meat loaf, turnip greens, butter beans, fried okra, mashed potatoes, cornbread, sweet potatoes","1,8,10,12,6",,149,,,,,,,
2017/03/01 21:05:16+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,43,New Group,1.48757E+12,1.48757E+12,1.48757E+12,3/1/17 15:05,3/1/17 15:04,-06:00,2,"asparagus, salmon and white rice ","4,8,12",,60,,,,,,,
2017/03/01 19:23:10+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,3/1/17 11:23,,-08:00,2,"Kombucha, sweet potatoes, beef, chili sauce, apple","1,8,9",,,,,,,,,
2017/03/01 17:08:23+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,3/1/17 9:08,,-08:00,1,I,"10,11,12",,,,,,,,,
2017/03/01 17:07:18+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/26/17 20:07,-08:00,,,,,,,,,,,,
2017/03/01 17:07:17+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/25/17 17:25,-08:00,,,,,,,,,,,,
2017/03/01 17:07:16+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/21/17 18:47,-08:00,,,,,,,,,,,,
2017/03/01 15:20:01+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,3/1/17 7:19,,-08:00,3,"Spaghetti, marinara sauce with chicken sausage, romaine lettuce, cherry tomatoes, red bell pepper, homemade Caesar dressing, red wine","3,6,8,9,12",,,,,,,,,
2017/03/01 14:06:59+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,3/1/17 9:06,,-05:00,1,Special k chocolate cereal with skim milk,6,,,,,,,,,
2017/03/01 11:49:37+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,3/1/17 6:49,,-05:00,3,Pizza with pineapple and ham,"2,6,9,12",,,,,,,,,
2017/03/01 11:49:37+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/28/17 19:57,-05:00,,,,,,,,,,,,
2017/03/01 11:49:36+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/26/17 20:36,-05:00,,,,,,,,,,,,
2017/03/01 11:49:36+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/24/17 20:50,-05:00,,,,,,,,,,,,
2017/03/01 11:49:35+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/22/17 19:32,-05:00,,,,,,,,,,,,
2017/03/01 11:28:24+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,3/1/17 5:28,,-06:00,1,I had oatmeal and milk with juice on the side.,"6,12",,,,,,,,,
2017/03/01 11:28:23+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/28/17 14:20,-06:00,,,,,,,,,,,,
2017/03/01 11:28:23+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/25/17 20:19,-06:00,,,,,,,,,,,,
2017/03/01 11:28:23+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/25/17 17:58,-06:00,,,,,,,,,,,,
2017/03/01 11:28:22+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/21/17 20:27,-06:00,,,,,,,,,,,,
2017/03/01 04:38:04+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,,2/28/17 18:38,-08:00,,,,,,,,,,,,
2017/03/01 03:51:24+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/28/17 19:51,2/28/17 19:15,-08:00,3,"Chicken Piccata- chicken breast, capers, butter, olive oil Mashed Potatoes, Grilled Asparagus","3,6,8",,,,,,,,,
2017/03/01 02:52:19+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/28/17 21:52,,-05:00,3,Cheese burger and a hotdog,"1,6",,,,,,,,,
2017/03/01 02:33:33+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/28/17 18:33,,-08:00,2,"One fried egg with turmeric, baked sweet potatoes, steamed kale and cabbage, cucumber and carrot salad, buttermilk biscuit with cheddar cheese, peppermint tea","6,7,8,12",,,,,,,,,
2017/03/01 02:30:52+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,0,0,0,2/28/17 21:30,,-05:00,3,"3 pieces of pizza without cheese, extra marinara. ","12,8",,71,,,,,,,
2017/03/01 01:47:18+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/28/17 17:47,,-08:00,2,"Salad consisting of kale, lettuce, broccoli, cabbage, chicken, and a vinaigrette dressing.","3,8",,,,,,,,,
2017/03/01 01:47:18+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/28/17 14:17,-08:00,,,,,,,,,,,,
2017/03/01 01:27:22+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/28/17 20:27,2/28/17 18:51,-05:00,3,"Cheeseburger with mustard on sourdough bread, kale and banana smoothie","1,6,8,9,12",,,,,,,,,
2017/03/01 01:24:52+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,41,,0,0,0,2/28/17 20:24,2/28/17 20:22,-05:00,3,"A vegetable burrito with Spanish rice, mushrooms, green pepper, jalape̱o pepper, tomato, cheese, sour cream, onion, and guacamole","6,8,12",,,,,,,,,
2017/03/01 00:34:52+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/28/17 18:34,2/28/17 17:08,-06:00,3,Cheeseburger and French fries,"1,6,8,12",,,,,,,,,
2017/03/01 00:25:38+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/28/17 17:25,2/28/17 17:24,-07:00,2,A single slice of pepperoni pizza and an iced tea,"1,6",,,,,,,,,
2017/03/01 00:24:11+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,,2/27/17 15:41,-07:00,,,,,,,,,,,,
2017/02/28 22:31:40+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/28/17 16:31,2/28/17 16:07,-06:00,2,cheeseburger,1,,24,,,,,,,
2017/02/28 22:28:52+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/28/17 17:28,2/28/17 16:10,-05:00,2,Turkey sandwich,3,,,,,,,,,
2017/02/28 22:09:01+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/28/17 15:08,2/28/17 15:06,-07:00,3,"chicken pasta bake with grilled chicken, spaghetti, and Alfredo sauce",3,,34,,,,,,,
2017/02/28 22:03:12+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/28/17 14:58,-05:00,,,,,,,,,,,,
2017/02/28 20:42:20+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/28/17 14:42,,-06:00,1,A couple of pieces of Pepperoni pizza,"1,6,12",,,,,,,,,
2017/02/28 20:23:50+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,41,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/28/17 14:23,2/28/17 14:23,-06:00,1,"egg, potatoes","7,8",,38,,,,,,,
2017/02/28 20:16:35+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/28/17 15:16,2/28/17 14:58,-05:00,2,Shrimp with rise and lettuce salad,"5,8",,,,,,,,,
2017/02/28 18:56:34+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,0,0,0,2/28/17 13:56,,-05:00,2,"10 buffalo chicken wings, no skin",3,,37,,,,,,,
2017/02/28 18:06:02+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/28/17 13:06,,-05:00,,,,,,,,,FALSE,,,
2017/02/28 18:06:02+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,,2/27/17 14:27,-05:00,,,,,,,,,,,,
2017/02/28 16:38:40+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,0,0,0,2/28/17 11:38,,-05:00,1,Mini chicken sandwiches and hashbrowns,"3,12",,41,,,,,,,
2017/02/28 16:19:15+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,0,0,0,2/28/17 11:19,,-05:00,1,eggs sausage toast,"2,7,12",,39,,,,,,,
2017/02/28 11:21:45+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/28/17 6:21,,-05:00,1,oatmeal and protein shake,"6,9,12",,,,,,,,,
2017/02/28 11:21:45+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/27/17 17:05,-05:00,,,,,,,,,,,,
2017/02/28 11:21:45+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/24/17 16:00,-05:00,,,,,,,,,,,,
2017/02/28 11:21:44+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/22/17 17:57,-05:00,,,,,,,,,,,,
2017/02/28 03:15:58+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,41,New Group,0,0,0,2/27/17 19:15,,-08:00,3,vegetable beef soup with cornbread,"1,6,8,12",,53,,,,,,,
2017/02/28 02:13:32+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/27/17 18:13,,-08:00,,,,,,,,,TRUE,,,"{type = Random sampling (ESM),frequency = 3,esmPeriod = Week,startHour = 2:00pm,endHour = 9:00pm,weekends = true,times = [],repeatRate = 1,daysOfWeek = (Tue, Wed, Fri),nthOfMonth = 1,byDayOfMonth = true,dayOfMonth = 1}"
2017/02/28 01:51:31+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/27/17 20:51,2/27/17 20:11,-05:00,2,spaghetti with sausages,"2,7,8,9,12",,38,,,,,,,
2017/02/28 01:29:05+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/27/17 20:29,,-05:00,2,Pork and lettuce and tomato salad,"2,8",,,,,,,,,
2017/02/28 01:28:25+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/27/17 16:33,-05:00,,,,,,,,,,,,
2017/02/28 01:28:24+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/27/17 16:44,2/27/17 16:33,-05:00,1,Eggs and bread,"7,12",,,,,,,,,
2017/02/28 01:15:17+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/27/17 20:15,2/27/17 20:08,-05:00,3,one fried chicken thigh,3,,23,,,,,,,
2017/02/28 01:13:30+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/27/17 20:13,2/27/17 17:51,-05:00,3,grilled cheese sandwich. baby carrots. green apple.,"6,8,9",,,,,,,,,
2017/02/28 00:29:33+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/27/17 19:29,2/27/17 19:28,-05:00,3,Pork Chops and spinach,"2,8",,35,,,,,,,
2017/02/28 00:26:13+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/27/17 19:26,2/27/17 19:20,-05:00,3,chicken,3,,10,,,,,,,
2017/02/28 00:18:37+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/27/17 16:18,2/27/17 16:13,-08:00,2,"Chorizo, eggs, corn tortillas","1,7,12",,,,,,,,,
2017/02/27 23:54:44+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/27/17 18:54,2/27/17 18:54,-05:00,3,roast beef sandwich and French fries,"1,6,12",,26,,,,,,,
2017/02/27 23:22:27+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/27/17 15:22,2/27/17 14:10,-08:00,2,"Chili consisting of ground beef, tomato sauce, cabbage, onions, and bell peppers.","1,8",,,,,,,,,
2017/02/27 22:50:38+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,0,0,0,2/27/17 16:50,,-06:00,2,"grilled chicken, orange sauce",3,,29,,,,,,,
2017/02/27 22:42:51+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/27/17 15:42,2/27/17 15:41,-07:00,2,Chicken and ham sandwich and bottled water,"2,3,12",,,,,,,,,
2017/02/27 22:22:46+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/27/17 17:22,,-05:00,2,Ramen noodles with two eggs,7,,,,,,,,,
2017/02/27 22:20:59+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,,2/25/17 19:59,-05:00,,,,,,,,,,,,
2017/02/27 21:34:54+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,0,0,0,2/27/17 16:34,,-05:00,2,Fettuccine Alfredo and cheese ravioli,"3,6,12",,32,,,,,,,
2017/02/27 21:26:59+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/27/17 15:26,,-06:00,2,"Pork chops, carrot souffl̩, mashed potatoes","2,6,8,12",,,,,,,,,
2017/02/27 21:23:59+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/27/17 16:23,2/27/17 15:10,-05:00,2,chicken noodle soup,"3,12,8",,49,,,,,,,
2017/02/27 21:16:48+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/26/17 17:01,-05:00,,,,,,,,,,,,
2017/02/27 21:16:48+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/24/17 17:40,-05:00,,,,,,,,,,,,
2017/02/27 21:16:47+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/23/17 15:02,-05:00,,,,,,,,,,,,
2017/02/27 21:03:31+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/27/17 16:03,2/27/17 16:03,-05:00,2,chicken legs,3,,22,,,,,,,
2017/02/27 18:00:57+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,0,0,0,2/27/17 13:00,,-05:00,1,"plain bagel, fat free cream cheese,  small coffee with skim milk","6,12",,54,,,,,,,
2017/02/27 06:16:15+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/26/17 22:16,2/26/17 18:50,-08:00,3,"Vegetable smoothie (spinach, celery, carrots, cilantro, coconut milk), 2 slices of pizza (cheese, pepperoni, pineapple, olives)","2,6,8,11,12,15",,,,,,,,,
2017/02/27 05:58:08+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,0,0,0,2/27/17 0:58,,-05:00,3,spaghetti with sausages and spagetti sauce,"2,7,6,8,9",,58,,,,,,,
2017/02/27 03:13:58+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,,2017/02/25 15:24:00+0500,+05:45,,,,,,,,,,,,
2017/02/27 02:45:02+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,,2/26/17 16:45,-08:00,,,,,,,,,,,,
2017/02/27 02:33:03+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,,2/26/17 19:33,-05:00,,,,,,,,,,,,
2017/02/27 01:58:24+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/26/17 18:58,2/26/17 18:41,-07:00,3,"turkey burger patty with A1 sauce, peas",3,,31,,,,,,,
2017/02/27 01:56:02+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,,2/26/17 18:56,-05:00,,,,,,,,,,,,
2017/02/27 01:47:48+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,41,,0,0,0,2/26/17 20:47,2/26/17 20:46,-05:00,3,"I had a vegetable curry with mushrooms, onions, spinach, kidney beans, and tomatoes.","8,10",,,,,,,,,
2017/02/27 01:25:02+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,,2/26/17 18:25,-05:00,,,,,,,,,,,,
2017/02/27 00:49:57+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,41,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/26/17 18:49,2/26/17 18:16,-06:00,3,"chicken, quinoa, celery, carrot, avocado, cheese","3,6,8,12",,65,,,,,,,
2017/02/27 00:04:22+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/26/17 18:04,2/26/17 16:59,-06:00,3,"2 fish sandwich, lettuce, homemade light tarter sauce, cheese","4,8,12",,121,,,,,,,
2017/02/26 22:34:47+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,,2/26/17 15:33,-05:00,,,,,,,,,,,,
2017/02/26 20:59:24+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/26/17 15:59,2/26/17 15:59,-05:00,1,chicken,3,,12,,,,,,,
2017/02/26 20:17:44+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/26/17 15:17,2/26/17 15:17,-05:00,2,bacon cheeseburger with French fries,"1,12,6,2",,35,,,,,,,
2017/02/26 19:20:01+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,,2/24/17 18:21,-07:00,,,,,,,,,,,,
2017/02/26 03:09:36+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/25/17 21:09,2/25/17 20:41,-06:00,3,"Shrimp poboy sandwich, French fries, 12 oz beer","5,6,8",,,,,,,,,
2017/02/26 02:26:46+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/25/17 21:26,2/25/17 20:21,-05:00,3,Just a bowl of soup,3,,,,,,,,,
2017/02/26 01:56:27+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/25/17 19:56,2/25/17 19:55,-06:00,1,"eggs, chorizo, tortilla, salsa","2,7,12",,72,,,,,,,
2017/02/26 01:26:57+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,43,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/25/17 19:26,2/25/17 19:18,-06:00,3,Wendy's grilled chicken sandwich with fries ,"3,6",,47,,,,,,,
2017/02/26 01:22:23+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/25/17 20:22,2/25/17 19:19,-05:00,3,"Whole wheat pasta with alfredo sauce, chicken breast cooked in garli, broccoli, and a smoothie made of kale and banana","3,6,8,9,12",,,,,,,,,
2017/02/25 23:27:30+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/25/17 18:27,2/25/17 18:13,-05:00,3,"Burger patty, lettuce bun, tomato, onion, guacamole, vegan bacon, potato fries, honey mustard sauce","1,6,8,14",,,,,,,,,
2017/02/25 23:13:19+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/25/17 18:13,,-05:00,2,two slices of thin crust pepperoni pizza. baby carrots and ranch dressing. sliced pineapple.,"1,8,9",,,,,,,,,
2017/02/25 23:07:35+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/25/17 18:07,2/25/17 18:03,-05:00,3,"$5 Taco Bell chicken chalupa box. Comes with a chicken chalupa, two crunchy beef tacos, and a fountain soda.","1,3,6,8",,,,,,,,,
2017/02/25 23:06:01+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/25/17 18:06,2/25/17 18:03,-05:00,2,Frozen individual pepperoni pizza with added cheddar cheese.,"2,6",,,,,,,,,
2017/02/25 23:05:00+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,,2/22/17 20:12,-05:00,,,,,,,,,,,,
2017/02/25 22:24:52+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,41,New Group,1.48757E+12,1.48757E+12,1.48757E+12,2/25/17 14:24,2/25/17 14:14,-08:00,2,ham sandwich with mayo,2,,637,,,,,,,
2017/02/25 21:29:19+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,41,New Group,0,0,0,2/25/17 9:00,,-08:00,1,"scrambled eggs, 3 strips bacon, 2 cups coffee with cream and sugar","2,7,6,13",,88,,,,,,,
2017/02/25 21:18:59+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/25/17 16:18,2/25/17 15:36,-05:00,2,"Three eggs, fried potatoes, spinach, cottage cheese","6,7,8",,,,,,,,,
2017/02/25 20:15:10+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,42,New Group,0,0,0,2/25/17 15:15,2/25/17 15:14,-05:00,2,chicken and white rice,"3,12",,21,,,,,,,
2017/02/25 20:13:07+0000,Android,4.2.25,4.67499E+15,Stanford Food Diary,43,,0,0,0,2/25/17 14:13,,-06:00,,,,,,5.1.1,,976x600,TRUE,Amazon,KFFOWI,New Group:[1487571621068:(1487571621070:Randomly 3 times per week between 02:00PM and 09:00PM incl weekends )]
2017/02/25 20:05:12+0000,iOS,1.1.7.1,4.67499E+15,Stanford Food Diary,42,,0,0,0,2/25/17 14:05,,-06:00,2,"Steak fajitas with green peppers, tomatoes, corn tortillas, rice, beans, and guacamole.","1,6,10",,,,,,,,,
