V8,V9,V10,Inst,recap,conf,RSfr,RSlike,FDfr,FDeasy,FDconv,FDlike,again,month,lunch,dinner,Timefp1_1,Timefp1_2,Timefp1_3,Timefp1_4,openfr,purpfr,timefp2_1,timefp2_2,timefp2_3,timefp2_4
3/2/17 15:20,3/2/17 15:21,1,1,1,No,It was fine and easy,Liked it very much,It was fine and eassy,Very Easy,Very Convenient,Liked it very much,Yes,Yes,12:30pm,8:00pm,1,2,3,4,,It was about habits.,1,2,3,4
3/2/17 15:28,3/2/17 15:29,1,1,1,no,It was easy. ,Liked it,They were fun. ,Very Easy,Convenient,Liked it,Yes,Maybe,1:00 PM,7:00 PM,1,2,3,4,,not sure,1,2,3,4
3/2/17 15:30,3/2/17 15:32,1,1,1,None,"It was very easy and quick, very painless",Liked it very much,It was very easy as well they seemed to always show up shortly after I had my last meal so it was pretty easy to remember everything lol it's like you all KNEW!,Very Easy,Very Convenient,Liked it very much,Yes,Yes,1-Dec,7-May,1,2,3,4,"None, thank you",Not sure really,1,2,3,4
3/2/17 16:00,3/2/17 16:01,1,1,1,"No, not at all.",It was very easy to complete and simple to understand.,Liked it,It was super easy and simple to understand as well.,Very Easy,Very Convenient,Liked it,Yes,Yes,12:00 PM,6:00 PM,1,2,3,4,,,1,2,3,4
3/2/17 16:00,3/2/17 16:01,1,1,1,No.,Everything seemed to work fine.,Neither disliked nor liked it,Seemed to work perfectly and I had no issues.,Easy,Convenient,Liked it,Yes,Yes,1:00pm,7:00pm,1,2,3,4,Nope!,To assess the usefulness of this kind of food diary tracking system.,1,2,3,4
3/2/17 15:59,3/2/17 16:02,1,1,1,None,I had no issues taking it.,Neither disliked nor liked it,It was quick and really fun and interactive.,Easy,Convenient,Liked it very much,Yes,Maybe,12pm,5pm,1,2,3,4,None,Eating habits,1,2,3,4
3/2/17 16:00,3/2/17 16:02,1,1,1,I wasn't sure once I submitted my mobile survey results if I had to do anything else (like redeem a code for each entry or something). ,That was easy to do.,Somewhat liked it,They were much quicker than I thought they would be.,Easy,Somewhat convenient,Neither disliked nor liked it,Yes,Yes,1:00pm,6:30pm,1,2,3,4,No.,"Not really sure, besides it focused on protein a lot.",1,2,3,4
3/2/17 16:02,3/2/17 16:04,1,1,1,They all worked well.,"I am not sure what this question is asking. Completing the recruitment survey was effortless, i remember it being a few minutes.",Liked it,Effortless in my opinion.,Very Easy,Convenient,Liked it,Yes,Yes,1:00 PM,8:00 PM,1,2,3,4,,To log when you eat foods.,1,2,3,4
3/2/17 16:03,3/2/17 16:04,1,1,1,No,It was pretty quick & easy,Liked it,It was also pretty quick & easy,Somewhat easy,Somewhat convenient,Somewhat liked it,Yes,Maybe,12:00 PM,5:00 PM,1,2,3,4,Thanks for letting me participate! ,Determine how the food diary survey went.,1,2,3,4
3/2/17 15:59,3/2/17 16:05,1,1,1,no,It was a pleasant experience completing the initial Recruitment survey.,Somewhat liked it,It wasn't bad or hard at all completing entries for the food diary. It was easier than I thought and not tough at all!,Very Easy,Convenient,Somewhat liked it,Yes,Yes,3:00 PM,9:00 PM,1,2,3,4,no,I believe the purpose of the study was to just study how we ate meals and how consistent I was with other participants.,1,2,3,4
3/2/17 16:03,3/2/17 16:06,1,1,1,I don't think I received the diary mini surveys. I did do the initial survey.,It was not a bad experience.,Liked it,I did not receive the food diary.,Neither difficult nor east,Neither inconvenient nor convenient,Neither disliked nor liked it,Yes,Yes,11:30 AM,5:30 PM,1,2,3,4,I am going to send an email to you when this instrument is completed about the diary.,,1,2,3,4
3/2/17 16:05,3/2/17 16:06,1,1,1,"No, everything I did was easy to do. ",It was very simple and easy. It didn't take me any time at all. ,-99,Those were very easy to do as well. ,Easy,Convenient,Liked it,Yes,Yes,11-1 pm,7-9 pm,1,2,3,4,no,how we eat,1,2,3,4
3/2/17 16:01,3/2/17 16:07,1,1,1,Not at all,It was easy,Liked it,Everything is very straight forward ,Somewhat easy,Convenient,Liked it,Yes,Maybe,12pm,7pm,1,2,3,4,,To understand individual eating habits ,1,2,3,4
3/2/17 16:06,3/2/17 16:08,1,1,1,No,Easy,Liked it very much,Good!,Very Easy,Very Convenient,Liked it very much,Yes,Yes,1pm,7pm,1,2,3,4,,See what people eat for their last full meal.,1,2,3,4
3/2/17 16:06,3/2/17 16:08,1,1,1,not at all no confusion,it was really fun and interesting to do,Liked it very much,was easy and quick,Easy,Convenient,Liked it,Yes,Yes,10:00 AM,4:00 PM,1,2,3,4,,for a food diary of what we ate.,1,2,3,4
3/2/17 16:06,3/2/17 16:08,1,1,1,None,I did not think it was very difficult and the pay is very much worth the time and effort for it!,Liked it,These were very easy! ,Very Easy,Convenient,Liked it very much,Yes,Yes,around 10am,around 8pm,1,2,3,4,This was a fun study!,Trying to see how often people eat specific types of foods and if their day-to-day food choices change?,1,2,3,4
3/2/17 16:04,3/2/17 16:08,1,1,1,No,"I was signed up for the food diary and the survey itself was simple and straightforward enough. I would suggest in the future, rather than asking for participant's phone numbers as an identifier, just use their Mturk ID as more people would be comfortable providing that. ",Somewhat liked it,"Completing entries for the Food Diary was simple and quick, can't think of anything I'd change to improve it.",Very Easy,Convenient,Liked it,Yes,Yes,12pm,7pm,1,2,3,4,N/A,"If the time that one ate a meal impacted what that meal consisted of in terms of proteins, wheats, sweets, vegetables, etc.",1,2,3,4
3/2/17 16:07,3/2/17 16:09,1,1,1,none it was fun ,it was good and right to the point ,Liked it,it was fun and really nice to do ,Very Easy,Convenient,Liked it very much,Yes,Yes,12,6,1,2,3,4,fun i love to do 10 for $4,food diary of course ,1,2,3,4
3/2/17 16:06,3/2/17 16:09,1,1,1,Nothing was confusing or troublesome to me.,"It was an easy and fast survey to complete, quite enjoyable.",Liked it,"It was simple and easy to complete, I had no trouble with it all.",Very Easy,Very Convenient,Liked it,Yes,Yes,About 1 or 2PM,Between 6 and 8PM,1,2,3,4,"Thank you for the opportunity, these Food Diary surveys were very enjoyable to be part of.",I think the purpose of the study is to analyze if participants were able to stick to their initial health/eating goals.,1,2,3,4
3/2/17 16:08,3/2/17 16:11,1,1,1,No they were not.,Fine,Liked it,Very easy to do.,Very Easy,Very Convenient,Liked it very much,Yes,Yes,12:30,6:30,1,2,3,4,This was a fun hit. ,To see how people eat ,1,2,3,4
3/2/17 16:12,3/2/17 16:13,1,1,1,no,very easy,Liked it very much,very simple,Very Easy,Very Convenient,Liked it very much,Yes,Yes,12:00 PM,6:00 PM,1,2,3,4,,,1,2,3,4
3/2/17 16:10,3/2/17 16:13,1,1,1,None of it,very simple and fast,Liked it,as easy as can be ,Very Easy,Very Convenient,Liked it very much,Yes,Yes,12,7,1,2,3,4,none,the times one eats and what they eat,1,2,3,4
3/2/17 16:10,3/2/17 16:14,1,1,1,"I was a little confused about when I was supposed to do the food study part on the app itself. I wasn't sure when to expect the pings, so until I did I wasn't really sure when I was supposed to be filling out the little food log surveys. ",It was straight-forward and easy to do. I didn't have any issues with completing it.,Neither disliked nor liked it,"It was easy once I knew I was going to get pinged when I needed to fill it out. Before that I was a little lost about what I should do. But filling out the entries itself was easy, short and didn't take much time.",Easy,Convenient,Somewhat liked it,Yes,Yes,12:30 PM,6:30 PM,1,2,3,4,,"I'm not entirely sure, maybe to see how the app works.",1,2,3,4
3/2/17 16:11,3/2/17 16:15,1,1,1,"No, everything went smoothly",Easy,Liked it very much,"Interesting, made me aware of what I had eaten",Easy,Very Convenient,Liked it very much,Yes,Yes,1pm,6pm,1,2,3,4,Very interesting and useful,Awareness of food consumption ,1,2,3,4
3/2/17 16:16,3/2/17 16:17,1,1,1,no,I think it was fine. ,Liked it,It was incredibly easy. ,Very Easy,Convenient,Liked it very much,Yes,Yes,noon,7 p.m. ,1,2,3,4,no,I am not certain. ,1,2,3,4
3/2/17 16:16,3/2/17 16:20,1,1,1,There was nothing confusing or troublesome about the survey.,I thought that the Recruitment Survey was fine and I had no issues with it. ,Liked it,"It was brief and to the point, and I didn't mind it at all. The only frustrating thing was trying to remember all of the ingredients in something that I made. ",Easy,Somewhat convenient,Liked it,Yes,Yes,Between 11 AM and 1 PM,Between 6 PM and 8 PM,1,2,3,4,None that I can think of.,To track people's consumption habits and to see if they ate healthier if they knew that they had to record what they were eating? ,1,2,3,4
3/2/17 16:19,3/2/17 16:22,1,1,1,No they were all pretty cut and dry. ,Easy,Liked it,"A little tedius, but overall painless and fair for the pay. ",Easy,Somewhat convenient,Somewhat liked it,Yes,Yes,3:00 PM,10:00 PM,1,2,3,4,Thanks,,1,2,3,4
3/2/17 16:21,3/2/17 16:22,1,1,1,No,Easy to do,Neither disliked nor liked it,Easy,Easy,Convenient,Liked it,Maybe,Maybe,12,6,1,2,3,4,,,1,2,3,4
3/2/17 16:21,3/2/17 16:22,1,1,1,No. They were fine.,It was quick and easy.,Neither disliked nor liked it,"It was easy, but I wish it wasn't mobile only. Sometimes it was hard to select fields properly.",Somewhat easy,Neither inconvenient nor convenient,Neither disliked nor liked it,Maybe,Yes,1:00 PM,6:00 PM,1,2,3,4,,,1,2,3,4
3/2/17 16:28,3/2/17 16:30,1,1,1,no,it was easy and fun,Liked it,they were fun ,Easy,Somewhat convenient,Liked it,Yes,Maybe,12:00 PM,5:00 PM,1,2,3,4,no,what food we consume,1,2,3,4
3/2/17 16:24,3/2/17 16:31,1,1,1,I wasn't sure if I got sent all three surveys or not during the week. I did the ones I had links to as soon as I could though.,It was easy to do.,Liked it,It was simple and took little time.,Easy,Somewhat convenient,Liked it,Yes,No,12 noon,5-6 pm,1,2,3,4,No other comments.,I'm not sure.,1,2,3,4
3/2/17 16:30,3/2/17 16:32,1,1,1,Nope all was good ,easy good survey that worked well,Liked it,Easy to do really appreciate the large text,Very Easy,Convenient,Liked it very much,Yes,Yes,12:30PM,5:00PM,1,2,3,4,,if we can stick to a plan,1,2,3,4
3/2/17 16:32,3/2/17 16:34,1,1,1,No,Easy,Liked it,"Easy, a little tough to remember at times",Somewhat easy,Neither inconvenient nor convenient,Somewhat liked it,Maybe,Maybe,Noon,7:00 P.M.,1,2,3,4,,,1,2,3,4
3/2/17 16:32,3/2/17 16:37,1,1,1,Everything went okay. ,"I don't much remember taking it, so I'm not sure how to answer the question. I will say, that I don't remember it being difficult or have a memory of it being difficult so I'd say that's a good sign that it was a good experience. ",Liked it,Easy. Layout was good and clear. It was easy to fill out. ,Easy,Convenient,Liked it,Yes,Yes,3pm,9pm,1,2,3,4,nope. Enjoyed the surveys,Either to see what our diets are or if we would do follow-up surveys over multiple days. ,1,2,3,4
3/2/17 16:34,3/2/17 16:38,1,1,1,"I got two codes. One in an email after the second food diary survey, and then one at the end of the third survey. Because I had already submitted the code with the HIT link from the email, when I went to the link at the end of the third, I was told I had already done the HIT. I hope I did the right thing.","That was fine, no problems.",Liked it very much,They were fine. A little shorter than I thought they'd be.,Very Easy,Very Convenient,Liked it very much,Yes,Yes,1:00 PM,7:00 PM,1,2,3,4,Thanks for letting me participate.,"I don't know, other than studying what people eat and maybe testing a mobile survey.",1,2,3,4
3/2/17 16:33,3/2/17 16:40,1,1,1,No it was pretty straight forward.,It was pretty easy.,Somewhat liked it,Very easy and straightforward.,Very Easy,Very Convenient,Somewhat liked it,Yes,Yes,2pm,7pm,1,2,3,4,Nope,To see how nutritional my diet was.,1,2,3,4
3/2/17 16:41,3/2/17 16:45,1,1,1,"Yes, I think I might have failed to allow PACO to send me push notifications, so I had to remember on my own to record what I ate in food diaries. ",I don't understand this question. I am sorry. ,Somewhat liked it,"I was a little uncertain as to how specific I should be regarding portions. Otherwise, it was fine. I have logged my food intake in the past and don't mind it. ",Very Easy,-99,Somewhat liked it,-99,Yes,11:30 a.m.,6:30 p.m.,1,2,3,4,Thanks for being a relatively generous requester!,To assess attitudes toward keeping food diaries. ,1,2,3,4
3/2/17 16:45,3/2/17 16:49,1,1,1,"No, everything was pretty simple and clear.",It was pretty fast and I didn't have any trouble understanding what would come next.,Liked it,It was very easy to do with the email reminders.,Very Easy,Very Convenient,Liked it,Yes,Yes,Around 2PM.,Around 8PM.,1,2,3,4,N/A,Tracking what people eat at various times of the day.,1,2,3,4
3/2/17 16:48,3/2/17 16:49,1,1,1,no,easy,Liked it,easy,Easy,Convenient,Neither disliked nor liked it,Yes,No,random,7pm,1,2,3,4,none,not sure,1,2,3,4
3/2/17 16:42,3/2/17 16:54,1,1,1,no it was very easy to follow and I completed all parts,it was easy to sign up and download the app,Liked it,I received reminders so as soon as I heard the reminder I filled out the survey rght away. It was easy to do,Somewhat easy,Convenient,Liked it,Yes,Yes,2:00 PM,8:00 PM,1,2,3,4,,,1,2,3,4
3/2/17 16:49,3/2/17 16:55,1,1,1,no,it was great..I enjoyed it,Liked it very much,great ,Easy,Very Convenient,Somewhat liked it,Yes,Yes,3:00,7:00,1,2,3,4,great task,my opinions,1,2,3,4
3/2/17 16:54,3/2/17 16:57,1,1,1,No,It was good. Easy. ,Liked it very much,I didn't mind it at all. It went well. ,Very Easy,Very Convenient,Liked it,Yes,Yes,1,7,1,2,3,4,No,I am not sure.  I would like to know. ,1,2,3,4
3/2/17 17:03,3/2/17 17:05,1,1,1,No was very simple.,Simple just clicked the links and got code from text.,Liked it,Simple. Made me think about what I was eating in a neutral way and reflect if it was good.,Somewhat easy,Convenient,Liked it,Yes,Yes,11,430,1,2,3,4,,Testing if people knowing their food was recorded made them eat dif,1,2,3,4
3/2/17 17:05,3/2/17 17:08,1,1,1,"No, everything mad sense.",Very easy.,Liked it,It was very helpful to me.,Easy,Convenient,Liked it very much,Yes,Yes,Around noon.  ,About 5:30pm.,1,2,3,4,"It was helpful for me to be able to answer these type of questions.  I tend to overeat often and food is tied very much to my emotions.  I am trying to eat less, eat healthier and lose weight.  It isn't easy.",How we view food and how eating affects us.,1,2,3,4
3/2/17 17:08,3/2/17 17:09,1,1,1,No,It was simple and easy to follow,Somewhat liked it,It was convenient and easy,Easy,Convenient,Neither disliked nor liked it,Yes,Maybe,2PM,8PM,1,2,3,4,N/A,Food Diaries,1,2,3,4
3/2/17 17:13,3/2/17 17:15,1,1,1,No,Very easy and straightforward,Somewhat liked it,Very easy and painless,Very Easy,Somewhat convenient,Neither disliked nor liked it,Yes,Maybe,12pm,730pm,1,2,3,4,,,1,2,3,4
3/2/17 17:14,3/2/17 17:16,1,1,1,None. But I am unsure if I remembered to submit for all the payments,"I don't remember, but I don't think there was a problem with it.",Neither disliked nor liked it,Easy and simple.,Very Easy,Convenient,Liked it,Yes,Yes,1,8,1,2,3,4,None,Unsure,1,2,3,4
3/2/17 17:21,3/2/17 17:23,1,1,1,Everything is very clear. ,Its professional. ,Liked it very much,It was very easy/,Very Easy,Very Convenient,Liked it very much,Yes,Yes,12:15pm,6:60pm,1,2,3,4,"This was very good, and I liked it. ",I believe the purpose of this study was about food. ,1,2,3,4
3/2/17 17:27,3/2/17 17:30,1,1,1,No,It was great.,Liked it very much,It was easy to complete.,Very Easy,Very Convenient,Liked it very much,Yes,Yes,12:30 PM,6:30 PM,1,2,3,4,No other comments,To study people's daily diets,1,2,3,4
3/2/17 17:30,3/2/17 17:33,1,1,1,Nothing was confusing.,Completing the initial survey was pretty fun.,Liked it very much,It was awesome.,Somewhat difficult,Convenient,Liked it very much,Yes,Yes,1:00,7:30,1,2,3,4,,To obtain opinions of different individuals.,1,2,3,4
3/2/17 17:38,3/2/17 17:42,1,1,1,everything was fine,simple to complete,Liked it,easy and quick,Very Easy,Very Convenient,Liked it,Yes,Yes,11:00 AM,4:45,1,2,3,4,no,determine healthy eating verses reporting healthy eating,1,2,3,4
3/2/17 17:46,3/2/17 17:49,1,1,1,The survey was simple and straightforward.,It was easy and quick to complete.,Liked it,Completing the diary entries was quick and easy.,Very Easy,Neither inconvenient nor convenient,Liked it,Yes,Yes,12:00 PM,7:00 PM,1,2,3,4,,This study observed food choices and times that people eat.,1,2,3,4
3/2/17 18:05,3/2/17 18:10,1,1,1,No.,"It was easy and I was able to complete the survey without guessing as to what any of the instructions or questions meant,",Somewhat liked it,"Very quick and easy. The only question was what exactly was in the food I was eating. For example, if I had a microwave meal for lunch did it have dairy? egg? wheat? I wasn't always sure. The only thing I knew was that they didn't have meat in them.",Easy,Convenient,Liked it,Yes,Yes,1:00EST,7:00EST,1,2,3,4,,To track the intake of meat by diary participants.,1,2,3,4
3/2/17 18:16,3/2/17 18:18,1,1,1,No.  Everything was straightforward and easy to complete.,Easy.  Had no issues at all.,Liked it very much,Great.  Allowed me to take a look back on what I had eaten.  I could reflect on my food choices.,Very Easy,Very Convenient,Liked it very much,Yes,Yes,12,6:30,1,2,3,4,Fun study.,Eating habits,1,2,3,4
3/2/17 18:25,3/2/17 18:27,1,1,1,Getting into some were a pain.,Straight forward,Neither disliked nor liked it,Straight forward as well.,Somewhat easy,Neither inconvenient nor convenient,Somewhat liked it,Yes,Maybe,11:30am,7:00pm,1,2,3,4,None.,Food habits,1,2,3,4
3/2/17 18:29,3/2/17 18:34,1,1,1,None of the parts were confusing,The survey was short and easy to do.,Liked it,The food diary was very easy and I enjoyed it.,Somewhat difficult,Somewhat inconvenient,Neither disliked nor liked it,No,Maybe,12:30,6:30,1,2,3,4,N/A,The purpose of the study was to see the diet of the people. It was to see the nutritional facts.,1,2,3,4
3/2/17 18:44,3/2/17 18:46,1,1,1,No,It was easy,Somewhat liked it,I only got one invitation,Neither difficult nor east,Somewhat convenient,Neither disliked nor liked it,Maybe,Maybe,12,6,1,2,3,4,No,No idea,1,2,3,4
3/2/17 18:44,3/2/17 18:47,1,1,1,Nope.,"It was fine, I guess. I don't really remember it, since I do a hell of a lot of HITs. haha.",Neither disliked nor liked it,Easy.,Very Easy,Very Convenient,Liked it,Yes,Yes,3pm,7pm,1,2,3,4,Not really.,Just getting feedback. I'd always do more HITs for money money.,1,2,3,4
3/2/17 18:27,3/2/17 18:50,1,1,1,No,This was very simple and straightforward ,Liked it,It was simple and made me think about the food I'm eating daily,Easy,Somewhat convenient,Liked it,Yes,Yes,12:30,7:00,1,2,3,4,I enjoyed this study,To examine common eating habits of Turkers,1,2,3,4
